Ford,Mustang,310-760 hp,350-625 lb-ft,6-speed manual/10-speed automatic,RWD,16-21 mpg city / 24-32 mpg highway,2015-2021,Gas V6/V8,5W-20,V6 (6.0 quarts (with filter)) V8(10.0 quarts (with filter)),"The low-pressure fuel supply line may be damaged or cut, which can result in a fuel leak."
Ford,F-150,290-450 hp,265-510 lb-ft,6-speed automatic/10-speed automatic,RWD/4WD,16-20 mpg city / 22-26 mpg highway,2015-2021,Gas V6/V8,5W-20,V6 (6.0 quarts (with filter)) V8(8.8 quarts (with filter)),The SYNC software may fail to activate the electronic stability control (ESC) system at the beginning of each ignition cycle
Ford,Explorer,300-400 hp,310-415 lb-ft,10-speed automatic,FWD/AWD,18-21 mpg city / 24-28 mpg highway,2015-2021,2.3L Ecoboost,5W-30,5.7 quarts (with filter) ,"Due to a poor electrical connection, the rearview camera may intermittently display a blank or distorted image"
Ford,Escape,181-250 hp,190-280 lb-ft,8-speed automatic,FWD/AWD,23-26 mpg city / 31-34 mpg highway,2015-2021,1.5L Ecoboost,5W-20,5.4 quarts (with filter),A fuel injector may crack and leak fuel inside the engine compartment.
Ford,Edge,250-335 hp,275-380 lb-ft,8-speed automatic,FWD/AWD,21-22 mpg city / 28-29 mpg highway,2015-2021,2.3L Ecoboost,5W-20,5.7 quarts (with filter) ,�The bushing that attaches the shifter cable to the transmission may degrade or detach.
Ford,Ranger,270 hp,310 lb-ft,10-speed automatic,RWD/4WD,21-23 mpg city / 26-26 mpg highway,2019-2021,2.3L Ecoboost,5W-30,5.7 quarts (with filter) ,"On certain sport utility vehicles with steel hoods and certain pickup trucks equipped with sheet molding compound hoods, a wire-formed hood striker could be susceptible to fatigue fractures"
Ford,Bronco Sport,181-245 hp,190-275 lb-ft,8-speed automatic,4WD,23-25 mpg city / 28-32 mpg highway,2021,2.3L Ecoboost,5W-30,5.7 quarts (with filter) ,"�The left-side rear door may be opened from the inside of the vehicle when the child safety lock is in the ""ON"" position."
Chevrolet,Camaro,275-650,295-650,"Manual, Automatic",RWD,16-23 mpg,2010-2021,6.2L V8,0W-40,10 quarts (with filter),"The left or right axle shaft may be missing a retaining ring, which could allow the axle shaft to separate while driving."
Chevrolet,Corvette,490-755,465-715,"Manual, Automatic",RWD,15-23 mpg,1953-2021,6.2L V8,0W-40,10 quarts (with filter),"The rear half-shaft assemblies may be missing one or more ball bearings, which can result in a loss of drive power."
Chevrolet,Spark,98,94,CVT,FWD,30-33 mpg,2013-2021,1.4L I4,0W-20,4.2 quarts (with filter),"�The secondary hood latch may corrode at the latch pivot, preventing the hood latch from properly engaging."
Chevrolet,Equinox,170-252,203-260,Automatic,FWD/AWD,22-28 mpg,2005-2021,1.5L I4,0W-20,5.3 quarts (with filter),"The door strikers may fracture, resulting in the door opening unexpectedly."
Chevrolet,Suburban,355,383,Automatic,RWD/4WD,15-20 mpg,1935-2021,6.2L V8,0W-20,8 quarts (with filter),The daytime running lights (DRLs) may not deactivate when the headlights are on
Chevrolet,Tahoe,355-420,383-460,Automatic,RWD/4WD,15-22 mpg,1995-2021,6.2L V8,0W-20,8 quarts (with filter),Some pickup and utility trucks have an internal component in the outboard seat belt retractors for the 2nd and 3rd row of seats that could be cracked.
Chevrolet,Silverado 1500,285-420,305-460,Automatic,RWD/4WD,16-23 mpg,1999-2021,Gas,0W-20,8 quarts (with filter),"On certain light duty trucks equipped with 4-wheel disc brakes, the Antilock Brake System (ABS) motor contains an out-of-specification spring clip"
Chevrolet,Colorado,200-308,191-369,"Manual, Automatic",RWD/4WD,17-22 mpg,2004-2021,"Gas, Diesel",0W-20,8 quarts (with filter),"The front camera module (FCM) system may falsely detect an obstacle, causing the automatic emergency braking (AEB) to engage unexpectedly."
Nissan,Altima,188-248,180-273,CVT,FWD,28-32 mpg,2019-2022,Gas,0W-20,4.8 quarts (with filter),"The bolts connecting the electronic power steering unit to the steering rack may loosen, resulting in a loss of steering control or steering lock-up."
Nissan,Maxima,300,261,CVT,FWD,23-26 mpg,2019-2022,Gas,5W-30,5.1 quarts (with filter),The rear window glass may not remain properly secured to the vehicle.
Nissan,Sentra,149-188,146-180,CVT,FWD,28-33 mpg,2019-2022,Gas,0W-20,4.2 quarts (with filter),"The front left-side driveshaft may not be fully seated in the  CVT assembly, or may have a loose or missing retaining clip, which can cause a transmission fluid leak and loss of drive power."
